year,month,day,country,region,state,city,attack_type,weapon_type,target_type,number_of_kills,number_of_wounded,property_damaged,lof_score,is_outlier
1970,2,16,United States,North America,California,San Francisco,Bombing/Explosion,Explosives,Police,1.0,0.0,1,268637832.97737485,True
1970,3,5,United States,North America,Puerto Rico,San Juan,Assassination,Firearms,Military,2.0,0.0,0,431397146.5577391,True
1970,3,9,United States,North America,Maryland,Bel Air,Bombing/Explosion,Explosives,Unknown,2.0,0.0,1,281673192.0353192,True
1970,3,14,United States,North America,California,Long Beach,Hijacking,Firearms,Military,0.0,0.0,0,3584084031.1337686,True
1970,4,11,United States,North America,Texas,Freeport,Facility/Infrastructure Attack,Incendiary,Business,0.0,5.0,1,529219816.28410643,True
1970,4,20,United States,North America,Kansas,Lawrence,Facility/Infrastructure Attack,Incendiary,Educational Institution,0.0,3.0,1,337799882.86175364,True
1970,5,9,United States,North America,New York,New York City,Facility/Infrastructure Attack,Incendiary,Educational Institution,0.0,12.0,1,1041742147.8156286,True
1970,5,15,United States,North America,Washington,Seattle,Bombing/Explosion,Explosives,Business,1.0,0.0,0,268637832.97737485,True
1970,7,2,United States,North America,California,Compton,Bombing/Explosion,Explosives,Police,1.0,0.0,1,268637832.97737485,True
1970,7,17,United States,North America,Illinois,Chicago,Armed Assault,Firearms,Police,2.0,0.0,1,298931268.35557884,True
1970,8,7,United States,North America,California,San Rafael,Hostage Taking (Kidnapping),Firearms,Government (General),4.0,2.0,1,830980412.3656508,True
1970,9,2,Greece,Western Europe,Attica,Athens,Bombing/Explosion,Explosives,Government (Diplomatic),2.0,0.0,1,342120957.7235142,True
1970,9,6,Netherlands,Western Europe,North Holland,Amsterdam,Hijacking,Firearms,Airports & Aircraft,1.0,0.0,0,851663223.3066201,True
1970,9,27,United States,North America,New York,New York City,Hijacking,Explosives,Airports & Aircraft,0.0,0.0,0,3584084031.1337686,True
1970,10,10,Canada,North America,Quebec,Saint-Lambert,Hostage Taking (Kidnapping),Firearms,Government (General),1.0,0.0,0,637406746.3406882,True
1977,7,5,Italy,Western Europe,Apulia,Foggia,Hostage Taking (Kidnapping),Unknown,Business,1.0,0.0,0,638747417.729965,True
1980,12,17,Australia,Australasia & Oceania,New South Wales,Sydney,Assassination,Firearms,Military,2.0,0.0,0,2651347150.2547464,True
1980,12,28,El Salvador,Central America & Caribbean,Chalatenango,Nombre de Jesus,Armed Assault,Firearms,Military,5.0,4.0,1,283865047.08297956,True
